0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-1,-0.9638100000000001,-0.27654,-0.36791,0.1075,-0.40237,0.66455,-0.68279,0.7909999999999999,-0.8774,-0.6,0.88255,-1.0,-0.88266,-0.6,-1.0,-0.20626999999999998,-0.59816,-1.0,-0.8219799999999999,-0.99926,-1.0,1
-1,-0.97954,0.23054000000000002,-0.65366,-0.21506,-0.25949,0.62141,-0.11035999999999999,0.46718999999999994,-0.7152,-0.6,-1.0,-1.0,1.0,-1.0,-1.0,-0.20834,0.2384,-0.33333,-0.82463,-0.99929,-1.0,-1
-1,-0.9606600000000001,-0.59075,-0.14891,0.98551,-0.99029,0.9945799999999999,-0.99964,0.9994700000000001,-0.9998299999999999,-0.6,0.71283,-1.0,-0.86972,-0.6,-1.0,-0.18057,-0.12975,-0.5,-0.79005,-0.9988799999999999,-1.0,-1
-1,-0.97325,0.11992,-0.6272,0.00045689,-0.42675,0.72443,-0.50529,0.72109,-0.85988,-0.6,0.8815700000000001,-1.0,-0.63313,-1.0,-1.0,-0.13374,0.019546,-0.6,-0.82581,-0.9993,-1.0,-1
-1,-0.9402,0.22275999999999999,-0.8468200000000001,0.29118,-0.8104600000000001,0.9575600000000001,-0.8691399999999999,0.9654799999999999,-0.9919899999999999,-0.6,0.76653,0.80574,-0.55065,-0.6,-0.33333,-0.14925,-0.6480100000000001,-1.0,-0.72701,-0.99771,-1.0,1
-1,-0.9701,0.94314,-0.9986799999999999,0.27418000000000003,-0.9753299999999999,0.9990899999999999,-0.7562800000000001,0.99197,-0.99977,-0.6,-1.0,-1.0,-0.1106,-1.0,-1.0,-0.13133,-0.3644,-0.6,-0.85756,-0.9995700000000001,-1.0,-1
1,-0.85208,0.86703,-0.9982200000000001,0.42376,-0.9889399999999999,0.99959,-0.9664200000000001,0.99916,-0.9999899999999999,-0.6,-1.0,0.81426,-0.20589000000000002,-1.0,-0.66667,0.010740000000000001,-0.68524,-0.81818,-0.55935,-0.9903700000000001,-1.0,-1
-1,-0.90086,0.5896399999999999,-0.97657,0.45186000000000004,-0.9571799999999999,0.99703,-0.95734,0.9965299999999999,-0.9997799999999999,-0.6,0.69604,0.7349100000000001,-0.81879,-0.6,-0.66667,0.05139,-0.61907,-1.0,-0.50841,-0.98634,-1.0,-1
-1,-0.88356,0.63658,-0.97969,0.9920700000000001,-0.99854,0.9997299999999999,-0.9997799999999999,0.99971,-1.0,-0.6,0.94742,-1.0,-0.8983399999999999,-0.6,-1.0,-0.17807,-0.70107,-0.63636,-0.35252,-0.9659700000000001,-0.69816,-1
-1,-0.9952799999999999,0.30046999999999996,-0.34484000000000004,0.8996,-0.87449,0.86724,-0.9862700000000001,0.9825799999999999,-0.9809100000000001,-0.6,-1.0,-1.0,1.0,-1.0,-1.0,-0.13209,-0.26197,-0.5,-0.74007,-0.998,-1.0,-1
-1,-0.9071600000000001,0.34167,-0.92675,0.32541,-0.8975,0.9869100000000001,-0.92079,0.9879899999999999,-0.99845,-0.6,0.7712899999999999,0.91969,-0.9517200000000001,-0.2,-0.66667,-0.25140999999999997,-0.7245199999999999,-0.75,-0.72705,-0.99771,-1.0,-1
-1,-0.9606600000000001,0.4145,-0.8751700000000001,0.76022,-0.9303299999999999,0.98313,-0.97865,0.9936799999999999,-0.9984700000000001,-0.6,0.91028,-1.0,-0.8842200000000001,-0.2,-1.0,-0.15800999999999998,-0.41211000000000003,-0.33333,-0.6994100000000001,-0.99698,-1.0,-1
-1,-0.8945700000000001,0.59063,-0.97356,0.94986,-0.9947600000000001,0.99945,-0.9995299999999999,0.99969,-1.0,-0.6,0.95,-1.0,-0.8891100000000001,-0.2,-1.0,-0.14569000000000001,-0.6698,-0.8333299999999999,-0.50925,-0.9864200000000001,-1.0,-1
1,-0.68214,0.59645,-0.9931200000000001,0.7598199999999999,-0.99356,0.99965,-0.9973799999999999,0.9996700000000001,-1.0,-0.6,0.8679399999999999,0.87556,-0.8356299999999999,-0.2,-0.66667,1.0,-0.8391200000000001,-0.61905,-0.18442999999999998,-0.92465,-1.0,-1
1,-0.9811200000000001,0.21199,-0.6220899999999999,0.31484,-0.55497,0.75775,-0.70578,0.8119,-0.8929799999999999,-0.6,-1.0,-1.0,1.0,-1.0,-1.0,-0.12586,-0.152,-0.2,-0.75127,-0.99823,-1.0,-1
-1,-0.97954,0.34341,-0.78832,0.64764,-0.84595,0.9436899999999999,-0.93765,0.97298,-0.9897600000000001,-0.6,0.6264,-1.0,-0.8485,-0.6,-1.0,-0.0053813,-0.36401,-0.6,-0.7673800000000001,-0.9985299999999999,-1.0,-1
-1,-0.97325,0.18075,-0.64969,0.69617,-0.8243,0.91494,-0.95088,0.9718,-0.98582,-0.6,0.9278799999999999,-1.0,-0.8933200000000001,-0.6,-1.0,-0.27896,-0.29803,-0.2,-0.79588,-0.9989600000000001,-1.0,-1
-1,-0.99213,0.31890999999999997,-0.49411000000000005,0.004613,0.0017755,0.15427000000000002,0.11437,-0.10282000000000001,-0.026327999999999997,-0.6,-1.0,-1.0,1.0,-1.0,-1.0,-0.20706999999999998,0.70111,0.33333,-0.9122,-0.99984,-1.0,-1
-1,-0.89299,0.767,-0.9908399999999999,0.70936,-0.9835,0.9990600000000001,-0.9852,0.9989600000000001,-0.9999600000000001,-0.6,0.89089,0.9295700000000001,-0.20021,-0.6,-0.66667,-0.11793,-0.73446,-0.86667,-0.51567,-0.98698,-1.0,-1
-1,-0.9701,0.28752,-0.75642,0.44168999999999997,-0.74119,0.8995799999999999,-0.84629,0.9297799999999999,-0.97159,-0.6,0.67685,-1.0,-0.65056,-0.6,-1.0,-0.22826,-0.51656,-0.2,-0.78076,-0.99874,-1.0,-1
-1,-0.97325,0.28065999999999997,-0.72435,0.36419,-0.66996,0.85644,-0.77879,0.8869600000000001,-0.9486600000000001,-0.6,0.68799,-1.0,-0.6550699999999999,-0.6,-1.0,-0.27532,-0.1296,-1.0,-0.80014,-0.9990100000000001,-1.0,-1
-1,-0.9402,0.25805,-0.84244,0.84503,-0.9550200000000001,0.9891700000000001,-0.9929899999999999,0.99775,-0.9995,-0.6,0.9022,-1.0,-0.9011600000000001,-0.6,-1.0,-0.17388,-0.58132,-1.0,-0.71141,-0.9973200000000001,-1.0,-1
-1,-0.94335,-0.05814299999999999,-0.69993,0.080538,-0.6468,0.88639,-0.76702,0.9119200000000001,-0.97045,-0.6,0.9016,-1.0,-0.998,-0.6,-1.0,0.6807,-0.32452,-0.33333,-0.7691899999999999,-0.99856,-1.0,-1
-1,-0.97167,0.28857,-0.7420100000000001,0.88428,-0.9432799999999999,0.97685,-0.99319,0.99645,-0.99859,-0.6,0.79128,-1.0,-0.89743,-0.6,-1.0,0.005074899999999999,-0.27599,-0.6,-0.8134600000000001,-0.9991700000000001,-1.0,-1
1,-0.9512200000000001,-0.16595,-0.67629,-0.073129,-0.59677,0.8730700000000001,-0.71823,0.89587,-0.9658100000000001,-0.6,0.60036,-1.0,-0.6502,-1.0,-1.0,0.47877,0.41735,-0.2,-0.76018,-0.9984,-1.0,-1
1,-0.93391,-0.063217,-0.78625,0.48211000000000004,-0.8587600000000001,0.96778,-0.9477399999999999,0.9857899999999999,-0.9966799999999999,-0.6,0.82739,-1.0,-0.8389700000000001,-0.6,-1.0,0.48636,-0.36361,-0.2,-0.63949,-0.9948299999999999,-1.0,-1
-1,-0.8631,0.047613,-0.8967200000000001,-0.027561000000000002,-0.84839,0.9812200000000001,-0.87536,0.98177,-0.99769,-0.6,-1.0,0.8832899999999999,-0.1431,-1.0,-0.66667,1.0,-0.26745,-0.63636,-0.60415,-0.9931200000000001,-1.0,-1
-1,-0.9701,-0.30232,-0.29368,-0.40168000000000004,0.028227999999999996,0.36762,-0.1587,0.39344,-0.6099899999999999,-0.6,-1.0,-1.0,-0.16979,-1.0,-1.0,-0.088871,-0.32227,-1.0,-0.8478700000000001,-0.99949,-1.0,1
1,-0.5358,0.89118,-0.99935,0.66142,-0.99729,0.99974,-0.9961200000000001,0.99971,-1.0,-0.6,0.87613,0.9101299999999999,-0.35275,-0.6,0.0,-0.31847,-0.90696,-0.91304,0.017126,-0.8352,-1.0,-1
-1,-0.9166,-0.042957999999999996,-0.76893,0.20052999999999999,-0.75985,0.93963,-0.8604700000000001,0.9586600000000001,-0.98921,-0.6,0.9442,0.71005,-0.7781100000000001,-1.0,-1.0,0.006665899999999999,-0.62772,-0.42857,-0.7491,-0.9981899999999999,-1.0,-1
-1,-0.9701,0.8292799999999999,-0.9858299999999999,0.18265,-0.9071299999999999,0.99095,-0.66005,0.9621799999999999,-0.99624,-0.6,-1.0,0.70897,-0.037145,-1.0,-0.66667,-0.24971,-0.18850999999999998,0.0,-0.75475,-0.9983,-1.0,-1
1,-0.9622299999999999,0.23864000000000002,-0.7861,0.23675,-0.70922,0.9072600000000001,-0.77881,0.9170799999999999,-0.9724299999999999,-0.6,0.8787299999999999,0.7426699999999999,-0.8194600000000001,-0.6,-0.66667,-0.35549000000000003,-0.18338,-1.0,-0.77547,-0.99866,-1.0,-1
